@relation greater50k_fewattributes-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S22-N10-F10

@attribute age numeric
@attribute education numeric
@attribute hoursWorked numeric
@attribute fiftyK {<=50K,>50K}

@data
35,13,40,<=50K
56,9,20,<=50K
49,9,50,<=50K
63,10,15,<=50K
20,9,20,<=50K
68,9,30,<=50K
55,11,45,<=50K
76,4,12,<=50K
27,9,45,<=50K
31,9,35,<=50K
32,9,40,<=50K
38,9,40,<=50K
18,7,30,<=50K
58,9,50,<=50K
24,10,40,<=50K
17,8,15,<=50K
35,6,50,<=50K
70,9,30,<=50K
57,11,40,<=50K
65,9,8,<=50K
75,7,30,<=50K
59,10,40,<=50K
76,6,1,<=50K
25,5,40,<=50K
31,10,52,<=50K
45,9,42,<=50K
70,5,15,<=50K
27,12,40,<=50K
43,10,42,<=50K
28,13,40,<=50K
30,11,40,<=50K
79,9,30,<=50K
59,9,20,<=50K
65,13,15,<=50K
21,10,25,<=50K
50,9,32,<=50K
22,10,10,<=50K
50,9,40,<=50K
35,13,40,<=50K
51,13,45,<=50K
24,9,40,<=50K
37,13,30,<=50K
38,13,40,<=50K
43,9,45,<=50K
19,10,50,<=50K
43,9,21,<=50K
64,9,20,<=50K
21,10,40,<=50K
33,10,35,<=50K
28,10,40,<=50K
25,13,40,<=50K
26,9,40,<=50K
42,7,40,<=50K
30,7,40,<=50K
44,14,42,<=50K
29,10,40,<=50K
26,13,50,<=50K
67,6,20,<=50K
22,10,35,<=50K
36,16,40,<=50K
45,10,40,<=50K
20,10,20,<=50K
38,9,48,<=50K
20,10,20,<=50K
56,9,50,<=50K
37,3,40,<=50K
40,9,40,<=50K
44,9,56,<=50K
33,1,40,<=50K
24,13,40,<=50K
31,9,50,<=50K
18,10,33,<=50K
53,10,40,<=50K
26,9,40,<=50K
26,8,48,<=50K
47,13,50,<=50K
49,9,40,<=50K
39,10,40,<=50K
49,14,40,<=50K
61,9,35,<=50K
51,10,45,<=50K
55,6,40,<=50K
44,10,40,<=50K
37,13,77,<=50K
40,6,55,<=50K
32,13,50,<=50K
40,9,45,<=50K
30,9,30,<=50K
34,9,40,<=50K
21,10,35,<=50K
24,13,50,<=50K
19,9,14,<=50K
33,12,56,<=50K
33,8,40,<=50K
21,9,40,<=50K
36,3,40,<=50K
17,6,20,<=50K
47,13,60,<=50K
28,13,40,<=50K
63,6,40,<=50K
54,10,40,<=50K
45,10,40,<=50K
28,13,18,<=50K
36,4,35,<=50K
43,10,40,<=50K
42,9,60,<=50K
23,9,40,<=50K
52,9,40,<=50K
49,9,43,<=50K
25,12,40,<=50K
20,10,20,<=50K
38,9,42,<=50K
31,9,40,<=50K
23,9,40,<=50K
30,9,40,<=50K
34,9,40,<=50K
29,10,40,<=50K
38,9,40,<=50K
26,13,40,<=50K
24,9,32,<=50K
36,11,8,<=50K
74,10,9,<=50K
52,13,60,<=50K
19,10,20,<=50K
32,9,40,<=50K
46,9,38,<=50K
24,9,40,<=50K
55,11,38,<=50K
63,9,6,<=50K
25,9,40,<=50K
40,10,40,<=50K
67,7,3,<=50K
47,10,45,<=50K
