@relation kc_house_data_2000_noMILLIONS-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rfirst-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S22-N10-F1

@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute sqft_living numeric
@attribute sqft_lot numeric
@attribute floors numeric
@attribute condition numeric
@attribute grade numeric
@attribute sqft_above numeric
@attribute sqft_basement numeric
@attribute yr_built numeric
@attribute yr_renovated numeric
@attribute zipcode {98001,98002,98003,98004,98005,98006,98007,98008,98010,98011,98014,98019,98022,98023,98024,98027,98028,98029,98030,98031,98032,98033,98034,98038,98040,98042,98045,98052,98053,98055,98056,98058,98059,98065,98070,98072,98074,98075,98077,98092,98102,98103,98105,98106,98107,98108,98109,98112,98115,98116,98117,98118,98119,98122,98125,98126,98133,98136,98144,98146,98148,98155,98166,98168,98177,98178,98188,98198,98199}
@attribute sqft_living15 numeric
@attribute sqft_lot15 numeric
@attribute price {'\'(-inf-259600]\'','\'(259600-444200]\'','\'(444200-628800]\'','\'(628800-813400]\'','\'(813400-inf)\''}

@data
5,2.75,2550,5040,1.5,5,8,2550,0,1902,0,98122,1590,3840,'\'(628800-813400]\''
5,2.5,4870,11800,2,3,10,3470,1400,1983,0,98074,3180,11398,'\'(628800-813400]\''
4,2.5,3230,40319,2,4,10,3230,0,1987,0,98027,2990,40234,'\'(628800-813400]\''
3,1.75,2080,9162,1,3,7,1370,710,1960,0,98005,1870,8944,'\'(628800-813400]\''
3,2,1700,4080,1,4,7,850,850,1941,0,98117,1480,5100,'\'(628800-813400]\''
4,2.5,3450,33460,2,3,9,3450,0,1997,0,98077,2820,35250,'\'(628800-813400]\''
3,2.5,3560,9796,1,3,8,1860,1700,1965,0,98007,2210,8925,'\'(628800-813400]\''
4,1.75,2460,10061,1,3,7,1410,1050,1961,0,98178,2300,10061,'\'(628800-813400]\''
4,2.5,2930,18199,2,3,9,2930,0,1998,0,98075,2930,33976,'\'(628800-813400]\''
4,4,3280,8448,2,3,10,3280,0,2007,0,98075,3730,8030,'\'(628800-813400]\''
3,1.75,2940,6000,1,4,8,1590,1350,1957,0,98177,2880,8100,'\'(628800-813400]\''
5,5,5774,31675,1,3,11,4490,1284,1984,0,98003,3260,13200,'\'(628800-813400]\''
6,2.5,2560,8320,1,3,7,1370,1190,1961,0,98125,2360,7800,'\'(628800-813400]\''
4,2.75,3370,7634,1,5,8,2110,1260,1977,0,98056,2460,7634,'\'(628800-813400]\''
4,3.25,3030,9273,2,5,8,3030,0,1988,0,98029,2360,7632,'\'(628800-813400]\''
3,3.25,3190,5283,2,3,9,3190,0,2007,0,98029,2950,5198,'\'(628800-813400]\''
4,2.5,2430,6099,1,5,8,1470,960,1965,0,98115,2180,6099,'\'(628800-813400]\''
5,2,2620,7030,1,3,8,1420,1200,1965,0,98133,1360,7964,'\'(259600-444200]\''
4,2.5,1780,3600,2,3,7,1780,0,2006,0,98038,2020,3802,'\'(259600-444200]\''
3,2.5,1890,6560,2,3,7,1890,0,2003,0,98038,2390,7570,'\'(259600-444200]\''
3,1,1610,5500,1.5,3,7,1610,0,1903,1973,98103,1200,5701,'\'(259600-444200]\''
3,2.25,2120,18500,2,4,8,2120,0,1983,0,98031,2120,14479,'\'(259600-444200]\''
3,1,1020,18050,1,3,7,1020,0,1969,0,98027,1750,11640,'\'(259600-444200]\''
3,2.5,1680,4308,2,3,7,1680,0,2004,0,98056,2160,4182,'\'(259600-444200]\''
3,2,1710,134489,1,5,7,1710,0,1952,0,98022,1700,63823,'\'(259600-444200]\''
3,2.25,2110,13300,2,4,8,2110,0,1985,0,98038,2470,14000,'\'(259600-444200]\''
3,2.5,2420,4750,2,3,8,2420,0,2003,0,98042,2690,4750,'\'(259600-444200]\''
3,2.25,1900,7800,1,4,8,1390,510,1977,0,98055,1730,7800,'\'(259600-444200]\''
2,1,1210,4800,1,3,8,1060,150,1950,0,98108,1380,4800,'\'(259600-444200]\''
2,2,1200,3900,1,3,8,1200,0,2006,0,98053,1440,5580,'\'(259600-444200]\''
3,1.5,1255,1374,3,3,7,1255,0,2004,0,98125,1307,1232,'\'(259600-444200]\''
4,1.5,2140,7920,1,3,7,1190,950,1959,0,98118,2140,7238,'\'(259600-444200]\''
3,1.75,1890,10661,1,5,7,1460,430,1978,0,98038,1680,9604,'\'(259600-444200]\''
1,1,960,40946,1,5,5,960,0,1945,0,98014,1320,20350,'\'(259600-444200]\''
3,2.25,1770,8755,1,3,8,1330,440,1981,0,98058,1910,8710,'\'(259600-444200]\''
3,2.25,1500,7308,1,4,7,1210,290,1968,0,98055,1480,7400,'\'(259600-444200]\''
3,2,1810,10530,1,3,8,1810,0,1991,0,98022,1910,10450,'\'(259600-444200]\''
4,2,1770,8890,1,5,6,1770,0,1949,0,98166,1010,7620,'\'(259600-444200]\''
3,2.25,1420,8549,2,4,7,1420,0,1989,0,98038,1560,7471,'\'(259600-444200]\''
3,2.5,2360,6699,2,3,7,2360,0,2003,0,98065,2360,4744,'\'(259600-444200]\''
3,2.5,1570,9292,1,3,7,1110,460,1977,0,98001,1470,9222,'\'(259600-444200]\''
3,1.75,960,8106,1,3,7,960,0,1962,0,98052,1650,8035,'\'(259600-444200]\''
4,2.5,2380,7850,2,3,8,2380,0,1995,0,98055,1940,7334,'\'(259600-444200]\''
3,1,1140,10320,1,4,7,1140,0,1963,0,98034,1140,10412,'\'(259600-444200]\''
3,1,1900,14400,1,4,7,1300,600,1954,0,98166,1940,14400,'\'(259600-444200]\''
3,1,980,7000,1,3,6,980,0,1953,0,98133,1220,7000,'\'(259600-444200]\''
2,1,930,5400,1,3,7,930,0,1952,0,98117,1050,5400,'\'(259600-444200]\''
3,2.75,2030,6840,1,3,7,1210,820,1979,0,98108,1910,6365,'\'(259600-444200]\''
3,1,1340,5175,1,3,7,940,400,1987,0,98133,1020,5500,'\'(259600-444200]\''
3,2.5,2280,10255,2,4,8,2280,0,1985,0,98058,2310,10094,'\'(259600-444200]\''
3,2.5,2210,9226,2,3,8,2210,0,1998,0,98045,2430,8902,'\'(259600-444200]\''
5,3,3450,9914,2,3,9,3450,0,2004,0,98023,2860,9721,'\'(259600-444200]\''
3,1.75,1490,7150,1,5,6,1490,0,1967,0,98059,1350,9100,'\'(259600-444200]\''
3,2.25,2570,8491,2,4,8,2570,0,1989,0,98042,2400,8049,'\'(259600-444200]\''
4,1,1260,7645,1.5,3,6,1260,0,1925,0,98146,1170,7649,'\'(259600-444200]\''
4,2.25,1990,21312,1,4,8,1990,0,1968,0,98058,2400,19210,'\'(259600-444200]\''
3,1.75,1470,7650,1,3,7,1130,340,1983,0,98059,1590,7500,'\'(259600-444200]\''
5,2.5,1710,7700,1.5,3,7,1710,0,1962,0,98007,1530,7700,'\'(259600-444200]\''
2,1,770,8149,1,3,6,770,0,1948,0,98155,1160,8149,'\'(259600-444200]\''
3,1,1130,4100,1,3,7,990,140,1941,0,98117,1800,4100,'\'(259600-444200]\''
4,2.25,2060,10070,2,3,7,2060,0,1975,0,98034,2060,8155,'\'(259600-444200]\''
2,1,820,4025,1,5,6,820,0,1922,0,98126,1410,5750,'\'(259600-444200]\''
3,1.5,1500,14750,1.5,4,6,1500,0,1933,0,98168,1270,15100,'\'(259600-444200]\''
3,2.5,1590,3480,2,3,7,1590,0,2004,0,98056,1680,3480,'\'(259600-444200]\''
3,2.5,1560,3987,2,3,7,1560,0,2002,0,98053,1600,3152,'\'(259600-444200]\''
3,1.75,1550,12956,1,3,7,1210,340,1988,0,98045,1630,15360,'\'(259600-444200]\''
2,1,990,3120,1,5,7,790,200,1907,0,98103,1930,3120,'\'(259600-444200]\''
4,3,2800,7845,2,3,8,2800,0,2002,0,98038,2800,6977,'\'(444200-628800]\''
4,2.25,2390,8858,1,4,8,1740,650,1979,0,98033,2240,8858,'\'(444200-628800]\''
3,1.75,1650,3200,1.5,3,8,1650,0,1901,0,98102,1500,2400,'\'(444200-628800]\''
3,2,1810,12825,1,4,7,1810,0,1960,0,98007,1490,10800,'\'(444200-628800]\''
4,2.25,1890,3006,2,3,7,1890,0,2003,0,98029,1580,3000,'\'(444200-628800]\''
2,1.75,1000,1760,1,4,6,600,400,1924,0,98109,2120,2802,'\'(444200-628800]\''
4,1.75,1810,21650,2,4,7,1810,0,1961,0,98077,2700,29680,'\'(444200-628800]\''
3,1.75,1620,1325,2.5,3,9,1430,190,2005,0,98102,1750,1572,'\'(444200-628800]\''
3,2.5,2270,100545,2,3,8,2270,0,1998,0,98070,1277,100545,'\'(444200-628800]\''
4,3.5,3540,4750,2,3,10,3540,0,2003,0,98055,3310,5655,'\'(444200-628800]\''
2,2,1420,9191,1.5,5,7,1420,0,1928,0,98115,1420,6816,'\'(444200-628800]\''
3,1.75,2910,37461,1,4,7,1530,1380,1967,0,98052,2520,18295,'\'(444200-628800]\''
3,1.75,1920,7400,1,4,8,1260,660,1977,0,98006,2360,8048,'\'(444200-628800]\''
3,1.75,2519,8690,2,5,8,2519,0,1973,0,98166,2500,9500,'\'(444200-628800]\''
4,2,2180,10575,1,2,6,1730,450,1950,0,98005,2180,12010,'\'(444200-628800]\''
3,2.5,2530,43733,2,3,8,1530,1000,1991,0,98045,1730,43548,'\'(444200-628800]\''
3,2.5,2260,3640,2,3,8,2260,0,1994,0,98072,2350,3710,'\'(444200-628800]\''
2,1.75,1330,6000,1,4,7,960,370,1914,1945,98199,1620,6000,'\'(444200-628800]\''
3,2.5,3660,39478,2,4,9,3260,400,1989,0,98022,2700,38312,'\'(444200-628800]\''
3,1,1370,6001,1,5,7,1230,140,1944,0,98108,1370,5520,'\'(444200-628800]\''
5,3.75,3570,14648,2,3,9,3570,0,2005,0,98019,3160,7882,'\'(444200-628800]\''
4,1,1420,6000,1.5,3,7,1420,0,1950,0,98115,1420,6180,'\'(444200-628800]\''
5,2.5,2340,7200,1,3,7,1300,1040,1975,0,98034,1930,7221,'\'(444200-628800]\''
3,2.5,2430,4203,2,3,8,2430,0,2001,0,98065,2500,4798,'\'(444200-628800]\''
6,2.5,1880,14350,1,5,7,1640,240,1955,0,98133,1510,9840,'\'(444200-628800]\''
4,2.5,2340,8971,2,3,9,2340,0,1987,0,98029,2510,9219,'\'(444200-628800]\''
3,2,1450,2400,1.5,3,8,1450,0,1900,2003,98107,1450,4275,'\'(444200-628800]\''
3,2,1360,3090,2,3,8,1360,0,1990,0,98103,1500,3090,'\'(444200-628800]\''
3,1,1210,3328,1.5,4,7,1210,0,1924,0,98107,1640,3333,'\'(444200-628800]\''
3,2.25,2370,38639,1,3,8,1930,440,1978,0,98077,2900,37452,'\'(444200-628800]\''
4,1,1610,2982,1.5,4,7,1610,0,1925,0,98144,1610,4040,'\'(444200-628800]\''
3,2.5,2650,7286,2,3,8,2650,0,1990,0,98059,2400,7220,'\'(444200-628800]\''
4,1.5,2810,7140,1,3,8,1490,1320,1954,0,98136,2240,6825,'\'(444200-628800]\''
4,2.5,2400,10070,1,3,7,1510,890,1967,0,98034,2030,9964,'\'(444200-628800]\''
4,1.75,2020,7840,1,3,7,1010,1010,1968,0,98003,1750,8140,'\'(-inf-259600]\''
3,2.5,1850,4597,2,3,8,1850,0,2003,0,98042,2210,5000,'\'(-inf-259600]\''
3,2,1360,6082,1,3,7,1360,0,1994,0,98042,1360,6987,'\'(-inf-259600]\''
3,1,1180,13650,1,4,7,1180,0,1967,0,98058,1460,11730,'\'(-inf-259600]\''
3,1.75,1050,7854,1,4,7,1050,0,1975,0,98023,1360,7668,'\'(-inf-259600]\''
1,0.75,940,87120,1,3,6,940,0,1944,0,98019,1930,165528,'\'(-inf-259600]\''
2,1,1320,8865,1,4,6,1320,0,1943,0,98168,1190,6490,'\'(-inf-259600]\''
3,1.75,1760,6500,1,3,7,1150,610,1987,0,98038,1760,8125,'\'(-inf-259600]\''
1,0.75,380,15000,1,3,5,380,0,1963,0,98168,1170,15000,'\'(-inf-259600]\''
3,1,1190,6250,1,3,7,990,200,1954,0,98108,1760,6434,'\'(-inf-259600]\''
2,1,770,17334,1,3,7,770,0,1978,0,98001,1480,17334,'\'(-inf-259600]\''
4,2.25,1730,8400,1,3,7,1730,0,1962,0,98001,1550,7920,'\'(-inf-259600]\''
3,1,1250,5411,1,3,7,1250,0,1980,0,98178,1490,6320,'\'(-inf-259600]\''
3,1.5,1350,81549,1,2,7,1350,0,1966,0,98092,2220,93825,'\'(-inf-259600]\''
2,1,1000,10200,1,3,6,1000,0,1961,0,98024,1150,13702,'\'(-inf-259600]\''
1,1,900,4368,1,5,6,900,0,1915,1950,98022,1290,5000,'\'(-inf-259600]\''
3,1.75,1300,11230,1,5,7,1300,0,1968,0,98042,1300,10794,'\'(-inf-259600]\''
3,2,1440,7187,1,4,7,970,470,1981,0,98023,1440,7187,'\'(-inf-259600]\''
3,3,4040,14338,2,3,10,3030,1010,1986,0,98077,3360,14142,'\'(813400-inf)\''
3,2,2310,6000,2,4,9,1560,750,1926,0,98199,2000,6000,'\'(813400-inf)\''
4,3.5,2800,6750,2,3,9,1890,910,1951,2002,98105,2370,6120,'\'(813400-inf)\''
4,2.25,4230,37769,2,3,11,4230,0,1989,0,98077,3890,37034,'\'(813400-inf)\''
4,2.25,2490,9864,1,4,8,1290,1200,1961,0,98004,2360,9864,'\'(813400-inf)\''
4,3,2170,4000,2,4,9,1610,560,1982,2011,98112,1670,4000,'\'(813400-inf)\''
4,3.25,3450,6500,2,3,8,2450,1000,1994,0,98136,1750,6500,'\'(813400-inf)\''
4,2.75,3130,21810,2,4,10,3130,0,1993,0,98077,3330,21810,'\'(813400-inf)\''
5,3.25,2980,7095,2.5,3,9,2980,0,1998,2007,98115,1670,7140,'\'(813400-inf)\''
3,3.25,3680,7650,2,3,9,2340,1340,1988,0,98074,2280,8515,'\'(628800-813400]\''
3,1.75,1870,9897,1,4,8,1870,0,1960,0,98040,1900,10005,'\'(628800-813400]\''
3,2.25,2150,21235,1,4,8,1590,560,1959,0,98166,2570,18900,'\'(628800-813400]\''
4,2,1740,9000,1,5,8,1740,0,1958,0,98033,1850,7700,'\'(628800-813400]\''
3,1,1400,1581,1.5,5,8,1400,0,1909,0,98112,1860,3861,'\'(628800-813400]\''
4,1.75,2320,5595,1,3,7,1510,810,1956,0,98199,1840,5596,'\'(628800-813400]\''
6,1.75,2750,9563,2,4,8,2750,0,1973,0,98052,2040,9563,'\'(628800-813400]\''
4,2.5,2620,5450,2,3,9,2620,0,2001,0,98074,2590,5371,'\'(628800-813400]\''
3,1.75,2040,4000,2,5,7,1360,680,1924,0,98105,1610,4000,'\'(628800-813400]\''
4,1.5,1840,10080,2,3,8,1840,0,1907,0,98118,1830,5040,'\'(628800-813400]\''
3,2.5,2300,3060,1.5,3,8,1510,790,1930,2002,98115,1590,3264,'\'(628800-813400]\''
3,1.75,1080,3200,1,4,7,880,200,1926,0,98103,1780,5200,'\'(628800-813400]\''
4,1.75,2020,16120,1,3,7,2020,0,1969,0,98010,1940,16350,'\'(628800-813400]\''
4,2.5,2820,6180,2,3,9,2050,770,2013,0,98118,1390,4635,'\'(628800-813400]\''
5,2.5,3480,74052,1,4,8,1980,1500,1972,0,98027,2610,65775,'\'(628800-813400]\''
3,2.5,2440,5750,2,3,9,1980,460,2000,0,98116,1520,5750,'\'(628800-813400]\''
3,1.75,2070,5500,1,4,7,1130,940,1946,0,98115,1800,4400,'\'(628800-813400]\''
2,2.75,1760,4139,2,3,8,1760,0,2010,0,98065,1870,3076,'\'(259600-444200]\''
