@relation greater50k_fewattributes-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S22-N10-F3

@attribute age numeric
@attribute education numeric
@attribute hoursWorked numeric
@attribute fiftyK {<=50K,>50K}

@data
56,4,40,<=50K
41,13,24,<=50K
21,10,12,<=50K
68,13,30,<=50K
64,9,50,<=50K
57,9,60,<=50K
70,4,25,<=50K
19,10,16,<=50K
23,9,40,<=50K
44,9,40,<=50K
20,10,40,<=50K
18,7,15,<=50K
45,9,40,<=50K
25,9,40,<=50K
18,8,6,<=50K
22,10,35,<=50K
35,10,40,<=50K
30,11,40,<=50K
32,9,50,<=50K
49,6,40,<=50K
61,4,31,<=50K
35,9,36,<=50K
52,7,40,<=50K
23,10,20,<=50K
63,9,25,<=50K
50,11,40,<=50K
57,13,35,<=50K
47,6,65,<=50K
29,9,40,<=50K
23,9,40,<=50K
45,9,40,<=50K
59,13,40,<=50K
46,14,40,<=50K
23,9,40,<=50K
42,9,40,<=50K
31,9,40,<=50K
20,10,20,<=50K
39,9,40,<=50K
27,14,35,<=50K
47,7,40,<=50K
59,6,40,<=50K
21,10,40,<=50K
62,11,40,<=50K
41,9,40,<=50K
25,13,40,<=50K
41,13,30,<=50K
25,13,40,<=50K
27,14,40,<=50K
45,10,50,<=50K
20,10,26,<=50K
24,13,40,<=50K
72,7,40,<=50K
37,14,40,<=50K
20,10,25,<=50K
31,13,36,<=50K
70,10,6,<=50K
36,9,24,<=50K
27,9,42,<=50K
28,13,55,<=50K
88,15,40,<=50K
40,10,50,<=50K
35,8,50,<=50K
60,3,40,<=50K
19,10,40,<=50K
17,7,18,<=50K
52,11,35,<=50K
23,9,7,<=50K
39,9,40,<=50K
18,7,24,<=50K
33,9,60,<=50K
45,7,40,<=50K
41,10,24,<=50K
30,9,40,<=50K
53,13,40,<=50K
57,6,40,<=50K
18,8,30,<=50K
63,13,35,<=50K
24,10,60,<=50K
35,10,45,<=50K
20,3,40,<=50K
49,7,40,<=50K
76,5,40,<=50K
25,8,40,<=50K
42,13,35,<=50K
55,4,60,<=50K
37,12,40,<=50K
39,10,48,<=50K
38,9,45,<=50K
55,11,35,<=50K
45,10,45,<=50K
19,9,30,<=50K
54,9,40,<=50K
22,9,40,<=50K
40,14,40,<=50K
38,13,40,<=50K
20,9,40,<=50K
23,11,40,<=50K
41,11,60,<=50K
29,10,55,<=50K
45,13,40,<=50K
41,14,40,<=50K
35,10,40,<=50K
40,9,40,<=50K
51,10,60,<=50K
54,9,32,<=50K
43,10,50,<=50K
32,10,44,<=50K
30,10,40,<=50K
18,9,3,<=50K
26,13,50,<=50K
25,9,30,<=50K
24,9,40,<=50K
44,2,40,<=50K
36,6,40,<=50K
40,13,35,<=50K
55,13,40,<=50K
28,10,25,<=50K
68,4,30,<=50K
28,9,40,<=50K
29,14,36,<=50K
52,14,60,<=50K
36,9,50,<=50K
43,13,40,<=50K
48,9,40,<=50K
51,10,75,<=50K
24,9,20,<=50K
35,10,40,<=50K
58,9,50,<=50K
24,9,40,<=50K
49,14,60,<=50K
42,10,38,<=50K
42,10,40,<=50K
78,9,1,<=50K
20,10,15,<=50K
55,9,40,<=50K
46,12,36,<=50K
42,13,40,<=50K
53,10,40,<=50K
42,13,40,<=50K
29,11,40,<=50K
30,9,40,<=50K
23,9,40,<=50K
45,9,55,<=50K
55,7,40,<=50K
55,10,40,<=50K
24,9,38,<=50K
46,9,40,<=50K
26,6,40,<=50K
32,9,40,<=50K
43,9,45,<=50K
33,12,55,<=50K
37,9,50,<=50K
38,10,38,<=50K
47,10,35,<=50K
23,9,40,<=50K
50,4,30,<=50K
35,9,40,<=50K
19,9,40,<=50K
44,14,48,<=50K
19,9,40,<=50K
23,10,40,<=50K
35,8,40,<=50K
23,10,25,<=50K
21,9,40,<=50K
40,9,40,<=50K
20,10,40,<=50K
42,9,42,<=50K
19,9,40,<=50K
