@relation greater50k_fewattributes-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N7-F1

@attribute age numeric
@attribute education numeric
@attribute hoursWorked numeric
@attribute fiftyK {<=50K,>50K}

@data
50,13,13,<=50K
45,13,40,<=50K
41,9,48,<=50K
59,9,48,<=50K
53,5,50,<=50K
19,10,30,<=50K
39,12,42,<=50K
47,10,45,<=50K
90,9,40,<=50K
45,9,40,<=50K
35,10,40,<=50K
43,9,40,<=50K
26,13,40,<=50K
26,5,40,<=50K
36,10,40,<=50K
31,10,40,<=50K
29,13,40,<=50K
38,10,40,<=50K
35,12,60,<=50K
28,9,45,<=50K
27,9,40,<=50K
29,9,35,<=50K
23,10,25,<=50K
23,13,20,<=50K
24,9,50,<=50K
58,9,50,<=50K
40,8,40,<=50K
26,11,45,<=50K
36,9,18,<=50K
59,9,16,<=50K
41,11,60,<=50K
62,13,48,<=50K
55,3,25,<=50K
22,9,40,<=50K
32,9,40,<=50K
41,6,30,<=50K
63,11,20,<=50K
51,9,32,<=50K
90,9,40,<=50K
22,13,20,<=50K
68,4,8,<=50K
28,13,45,<=50K
26,13,40,<=50K
24,13,65,<=50K
48,9,40,<=50K
34,9,40,<=50K
20,10,40,<=50K
36,15,50,<=50K
33,10,16,<=50K
51,10,40,<=50K
37,9,44,<=50K
28,10,20,<=50K
50,11,45,<=50K
38,9,48,<=50K
20,10,14,<=50K
43,9,40,<=50K
18,8,6,<=50K
51,10,45,<=50K
58,8,52,<=50K
59,6,40,<=50K
27,10,50,<=50K
35,9,40,<=50K
26,13,40,<=50K
65,9,40,<=50K
31,10,40,<=50K
19,10,36,<=50K
21,10,40,<=50K
32,13,37,<=50K
65,4,50,<=50K
20,9,40,<=50K
66,6,40,<=50K
28,12,3,<=50K
27,13,40,<=50K
49,10,40,<=50K
32,9,40,<=50K
61,14,4,<=50K
20,10,15,<=50K
29,10,55,<=50K
35,4,75,<=50K
39,10,35,<=50K
54,4,40,<=50K
38,9,40,<=50K
21,11,40,<=50K
37,10,40,<=50K
22,10,25,<=50K
39,9,40,<=50K
27,10,40,<=50K
20,10,24,<=50K
31,11,20,<=50K
54,10,48,<=50K
35,13,40,<=50K
19,10,35,<=50K
29,9,65,<=50K
45,11,40,<=50K
42,7,40,<=50K
31,10,40,<=50K
27,10,40,<=50K
23,9,40,<=50K
30,9,40,<=50K
41,13,55,<=50K
26,13,45,<=50K
32,13,40,<=50K
37,12,40,<=50K
29,9,40,<=50K
43,9,40,<=50K
52,9,35,<=50K
22,9,22,<=50K
22,5,30,<=50K
33,10,25,<=50K
30,9,60,<=50K
